ID,Sire,Dam,PC,yr
101121,NA,NA,112,2008
101122,NA,NA,112,2008
101151,NA,NA,115,2008
101152,NA,NA,115,2008
101161,NA,NA,116,2008
101162,NA,NA,116,2008
101171,NA,NA,117,2008
101172,NA,NA,117,2008
101181,NA,NA,118,2008
101182,NA,NA,118,2008
101191,NA,NA,119,2008
101192,NA,NA,119,2008
101211,NA,NA,121,2008
101212,NA,NA,121,2008
101221,NA,NA,122,2008
101222,NA,NA,122,2008
101231,NA,NA,123,2008
101232,NA,NA,123,2008
101241,NA,NA,124,2008
101242,NA,NA,124,2008
101251,NA,NA,125,2008
101252,NA,NA,125,2008
101271,NA,NA,127,2008
101272,NA,NA,127,2008
101291,NA,NA,129,2008
101292,NA,NA,129,2008
101301,NA,NA,130,2008
101302,NA,NA,130,2008
101311,NA,NA,131,2008
101312,NA,NA,131,2008
101321,NA,NA,132,2008
101322,NA,NA,132,2008
101341,NA,NA,134,2008
101342,NA,NA,134,2008
101351,NA,NA,135,2008
101352,NA,NA,135,2008
101361,NA,NA,136,2008
101362,NA,NA,136,2008
101371,NA,NA,137,2008
101372,NA,NA,137,2008
101381,NA,NA,138,2008
101382,NA,NA,138,2008
101401,NA,NA,140,2008
101402,NA,NA,140,2008
101411,NA,NA,141,2008
101412,NA,NA,141,2008
101431,NA,NA,143,2008
101432,NA,NA,143,2008
101441,NA,NA,144,2008
101442,NA,NA,144,2008
101451,NA,NA,145,2008
101452,NA,NA,145,2008
101461,NA,NA,146,2008
101462,NA,NA,146,2008
101471,NA,NA,147,2008
101472,NA,NA,147,2008
101481,NA,NA,148,2008
101482,NA,NA,148,2008
101491,NA,NA,149,2008
101492,NA,NA,149,2008
101501,NA,NA,150,2008
101502,NA,NA,150,2008
101511,NA,NA,151,2008
101512,NA,NA,151,2008
101521,NA,NA,152,2008
101522,NA,NA,152,2008
101531,NA,NA,153,2008
101532,NA,NA,153,2008
101601,NA,NA,160,2008
101602,NA,NA,160,2008
101611,NA,NA,161,2008
